PULocationID,weather,season,time,pickup_area,trip_distance
36,rainy,fall,night,not manhattan,4.3832432432432435
36,rainy,spring,day,not manhattan,6.2558333333333325
36,rainy,spring,night,not manhattan,4.711794871794871
36,rainy,summer,day,not manhattan,4.526666666666666
36,rainy,summer,night,not manhattan,3.8684615384615384
36,rainy,winter,day,not manhattan,2.69
36,rainy,winter,night,not manhattan,4.1755555555555555
36,sunny,fall,day,not manhattan,4.045277777777778
36,sunny,fall,night,not manhattan,4.747128205128205
36,sunny,spring,day,not manhattan,4.956571428571428
36,sunny,spring,night,not manhattan,4.768602150537634
36,sunny,summer,day,not manhattan,4.1787755102040816
36,sunny,summer,night,not manhattan,4.659488188976378
36,sunny,winter,day,not manhattan,5.559655172413793
36,sunny,winter,night,not manhattan,4.673823529411765
37,rainy,fall,day,not manhattan,3.430476190476191
37,rainy,fall,night,not manhattan,4.161219512195122
37,rainy,spring,day,not manhattan,4.770769230769231
37,rainy,spring,night,not manhattan,3.732553191489362
37,rainy,summer,day,not manhattan,3.1971428571428575
37,rainy,summer,night,not manhattan,3.272
37,rainy,winter,day,not manhattan,3.7810526315789477
37,rainy,winter,night,not manhattan,4.0405
37,sunny,fall,day,not manhattan,4.681956521739131
37,sunny,fall,night,not manhattan,4.278291666666666
37,sunny,spring,day,not manhattan,4.809354838709678
37,sunny,spring,night,not manhattan,3.659622641509434
37,sunny,summer,day,not manhattan,4.750446428571428
37,sunny,summer,night,not manhattan,3.7675
37,sunny,winter,day,not manhattan,4.520232558139535
37,sunny,winter,night,not manhattan,4.079395604395605
38,rainy,fall,day,not manhattan,25.978333333333335
38,rainy,spring,day,not manhattan,18.68142857142857
38,rainy,summer,day,not manhattan,16.195714285714285
38,rainy,winter,day,not manhattan,14.707142857142856
38,rainy,winter,night,not manhattan,12.389999999999999
38,sunny,fall,day,not manhattan,12.492647058823529
38,sunny,fall,night,not manhattan,6.7924999999999995
38,sunny,spring,day,not manhattan,15.242692307692307
38,sunny,spring,night,not manhattan,13.9475
38,sunny,summer,day,not manhattan,12.646216216216215
38,sunny,summer,night,not manhattan,3.0999999999999996
38,sunny,winter,day,not manhattan,12.115853658536585
38,sunny,winter,night,not manhattan,4.316666666666666
39,rainy,fall,day,not manhattan,3.5789999999999997
39,rainy,fall,night,not manhattan,9.295
39,rainy,spring,day,not manhattan,11.736666666666666
39,rainy,spring,night,not manhattan,9.5
39,rainy,summer,day,not manhattan,19.249000000000002
39,rainy,summer,night,not manhattan,5.3
39,rainy,winter,day,not manhattan,8.893333333333333
39,rainy,winter,night,not manhattan,4.5525
39,sunny,fall,day,not manhattan,8.504333333333333
