PULocationID,weather,season,time,pickup_area,duration
33,sunny,winter,night,not manhattan,900.7361477572559
34,rainy,fall,day,not manhattan,1301.6190476190477
34,rainy,spring,day,not manhattan,952.6666666666666
34,rainy,spring,night,not manhattan,836.5
34,rainy,summer,day,not manhattan,1147.642857142857
34,rainy,summer,night,not manhattan,982.5
34,rainy,winter,day,not manhattan,1044.2666666666667
34,rainy,winter,night,not manhattan,772.0
34,sunny,fall,day,not manhattan,1219.0181818181818
34,sunny,fall,night,not manhattan,860.52
34,sunny,spring,day,not manhattan,1196.2777777777778
34,sunny,spring,night,not manhattan,915.92
34,sunny,summer,day,not manhattan,1224.679012345679
34,sunny,summer,night,not manhattan,1112.5483870967741
34,sunny,winter,day,not manhattan,1204.225806451613
34,sunny,winter,night,not manhattan,755.0
35,rainy,fall,day,not manhattan,292.0
35,rainy,fall,night,not manhattan,526.5
35,rainy,spring,day,not manhattan,1042.8333333333333
35,rainy,spring,night,not manhattan,1977.6666666666667
35,rainy,summer,day,not manhattan,1754.4285714285713
35,rainy,summer,night,not manhattan,846.0
35,rainy,winter,day,not manhattan,3897.0000000000005
35,rainy,winter,night,not manhattan,1021.0
35,sunny,fall,day,not manhattan,1508.5
35,sunny,fall,night,not manhattan,1337.8
35,sunny,spring,day,not manhattan,1640.1176470588234
35,sunny,spring,night,not manhattan,719.2222222222222
35,sunny,summer,day,not manhattan,1436.88
35,sunny,summer,night,not manhattan,1472.3333333333333
35,sunny,winter,day,not manhattan,1677.1363636363637
35,sunny,winter,night,not manhattan,1160.0
36,rainy,fall,day,not manhattan,1158.2
36,rainy,fall,night,not manhattan,1125.4054054054054
36,rainy,spring,day,not manhattan,1650.5833333333333
36,rainy,spring,night,not manhattan,1102.871794871795
36,rainy,summer,day,not manhattan,1467.8333333333333
36,rainy,summer,night,not manhattan,990.2307692307693
36,rainy,winter,day,not manhattan,928.5714285714286
36,rainy,winter,night,not manhattan,1025.0
36,sunny,fall,day,not manhattan,1351.6944444444443
36,sunny,fall,night,not manhattan,1114.9846153846154
36,sunny,spring,day,not manhattan,1516.3142857142857
36,sunny,spring,night,not manhattan,1107.6720430107528
36,sunny,summer,day,not manhattan,1374.0204081632653
36,sunny,summer,night,not manhattan,1123.740157480315
36,sunny,winter,day,not manhattan,1287.1724137931035
36,sunny,winter,night,not manhattan,1088.0392156862745
37,rainy,fall,day,not manhattan,1153.047619047619
37,rainy,fall,night,not manhattan,1131.9268292682927
37,rainy,spring,day,not manhattan,1518.5
37,rainy,spring,night,not manhattan,1028.787234042553
37,rainy,summer,day,not manhattan,1180.0714285714287
37,rainy,summer,night,not manhattan,764.15
37,rainy,winter,day,not manhattan,1271.6842105263158
37,rainy,winter,night,not manhattan,1026.45
37,sunny,fall,day,not manhattan,1511.1847826086957
37,sunny,fall,night,not manhattan,1028.6583333333333
37,sunny,spring,day,not manhattan,1447.268817204301
37,sunny,spring,night,not manhattan,938.122641509434
37,sunny,summer,day,not manhattan,1511.0982142857142
37,sunny,summer,night,not manhattan,931.5037878787879
37,sunny,winter,day,not manhattan,1359.4767441860465
37,sunny,winter,night,not manhattan,959.9835164835165
38,rainy,fall,day,not manhattan,5021.833333333333
38,rainy,spring,day,not manhattan,3189.4285714285716
38,rainy,summer,day,not manhattan,2215.1428571428573
38,rainy,winter,day,not manhattan,3350.1428571428573
38,rainy,winter,night,not manhattan,1820.5
38,sunny,fall,day,not manhattan,1993.4705882352941
38,sunny,fall,night,not manhattan,625.0
38,sunny,spring,day,not manhattan,2704.9615384615386
38,sunny,spring,night,not manhattan,1701.25
38,sunny,summer,day,not manhattan,2003.2972972972973
38,sunny,summer,night,not manhattan,432.0
38,sunny,winter,day,not manhattan,1948.2439024390244
38,sunny,winter,night,not manhattan,704.0
39,rainy,fall,day,not manhattan,780.1
39,rainy,fall,night,not manhattan,1428.25
39,rainy,spring,day,not manhattan,1948.0
39,rainy,spring,night,not manhattan,1306.5
39,rainy,summer,day,not manhattan,2089.9
39,rainy,summer,night,not manhattan,532.0
39,rainy,winter,day,not manhattan,1310.6666666666667
39,rainy,winter,night,not manhattan,893.5
39,sunny,fall,day,not manhattan,1528.8833333333334
39,sunny,fall,night,not manhattan,1391.3333333333333
39,sunny,spring,day,not manhattan,1362.1951219512196
39,sunny,spring,night,not manhattan,1462.8461538461538
