PULocationID,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
76,sunny,spring,night,not manhattan,76.85,422.5,5.0,455.9,274.7833333333333,72.81662310830036,14.638591592988988,17
76,sunny,summer,day,not manhattan,719.98,2856.5,294.7,3394.55,2346.85,406.04508906209077,600.4274398563988,92
76,sunny,summer,night,not manhattan,318.69,1182.5,162.06,1406.01,786.1999999999999,147.65702342767582,350.92203103962754,37
76,sunny,winter,day,not manhattan,649.38,3114.0,292.98,3707.18,2777.9333333333334,750.6925569269013,686.3068095855581,135
76,sunny,winter,night,not manhattan,236.67,967.6,81.52,1141.02,702.0,149.00466004917376,242.81562459011846,30
77,rainy,fall,night,not manhattan,6.470000000000001,27.5,3.96,34.06,38.4,11.660302347802347,16.666666666666664,2
77,rainy,spring,day,not manhattan,3.11,14.0,0.0,14.8,18.85,6.061093247588425,0.0,1
77,rainy,spring,night,not manhattan,6.92,30.5,5.49,38.59,38.3,11.018040107352638,23.07692307692308,2
77,rainy,summer,day,not manhattan,6.2,29.0,0.0,31.6,39.56666666666667,12.56126860290024,0.0,2
77,sunny,fall,day,not manhattan,38.59,146.0,18.56,172.41,163.76666666666665,35.19921333925382,80.8518565257215,7
77,sunny,fall,night,not manhattan,20.93,90.5,3.86,104.76,105.28333333333333,45.36193386994745,16.666666666666664,8
77,sunny,spring,day,not manhattan,60.11,304.0,24.310000000000002,343.15999999999997,306.7,78.34638376422683,65.64508490629862,12
77,sunny,spring,night,not manhattan,19.0,82.5,4.2,94.5,100.13333333333333,34.78675936215785,20.0,6
77,sunny,summer,day,not manhattan,44.91,189.5,19.16,222.31,231.33333333333331,73.2635162334402,59.15958451369216,13
77,sunny,summer,night,not manhattan,67.22,221.5,16.46,249.06,186.7,24.500346761270883,66.66666666666666,7
77,sunny,winter,day,not manhattan,39.63,157.3,14.5,187.5,157.28333333333333,51.24917723960724,53.3490937746257,11
77,sunny,winter,night,not manhattan,30.13,132.7,20.08,200.78,134.83333333333334,56.30644380552707,75.24950099800398,10
78,rainy,fall,day,not manhattan,23.72,104.5,8.24,121.94,140.6,27.033882814735414,18.5001308563119,4
78,rainy,fall,night,not manhattan,1.8,12.0,0.0,14.600000000000001,20.366666666666667,23.379166666666666,0.0,2
78,rainy,spring,day,not manhattan,65.46,233.5,15.0,290.4,263.7833333333333,42.669150069078114,33.573272642071124,9
78,rainy,spring,night,not manhattan,6.359999999999999,26.5,0.0,29.1,34.7,10.932659932659933,0.0,2
78,rainy,summer,day,not manhattan,33.45,128.0,0.0,141.05,171.15,25.0025779787295,0.0,5
78,rainy,summer,night,not manhattan,2.04,10.0,0.0,11.3,11.916666666666666,5.841503267973856,0.0,1
78,rainy,winter,day,not manhattan,54.7,229.0,19.66,274.01,294.3333333333333,71.47191799227187,69.4784486361099,12
78,rainy,winter,night,not manhattan,1.3,8.6,0.0,11.1,6.866666666666666,5.282051282051282,0.0,1
78,sunny,fall,day,not manhattan,129.18,513.5,25.150000000000002,585.35,591.4,175.53019077294917,106.23141548672558,27
78,sunny,fall,night,not manhattan,34.120000000000005,126.5,0.0,136.9,126.73333333333333,32.29029786972917,0.0,8
78,sunny,spring,day,not manhattan,280.15,1120.0,75.2,1314.3,1410.2,259.773529977393,167.29615768939726,45
78,sunny,spring,night,not manhattan,49.25,176.5,6.61,205.16,175.45,51.43237228490722,33.238095238095234,10
78,sunny,summer,day,not manhattan,223.5,839.0,23.58,967.9300000000001,905.65,252.24789139835934,98.45987757068966,45
78,sunny,summer,night,not manhattan,53.449999999999996,234.5,32.21,285.26,148.78333333333333,41.83617393251611,101.36854543492902,10
78,sunny,winter,day,not manhattan,257.42,1116.9,59.14,1298.14,1171.4333333333334,300.22303850961686,205.5762861656241,49
78,sunny,winter,night,not manhattan,56.49,208.7,0.0,240.35,173.96666666666667,53.78581312078433,0.0,12
79,rainy,fall,day,manhattan,49708.67,239224.53,47269.99,362681.42,293588.3,141633.917636301,254929.4973078437,20369
79,rainy,fall,night,manhattan,45370.91,186969.92,38116.1,285823.45,203217.51666666666,84778.54418676686,203876.26955796417,15735
79,rainy,spring,day,manhattan,66189.98,314208.37,64227.19,480895.38,375955.89999999997,186540.00775582463,354059.88450178923,27752
79,rainy,spring,night,manhattan,64686.83,266443.19,55483.47,409903.54,291011.9666666667,123163.66806948654,301058.8964799931,22843
79,rainy,summer,day,manhattan,41390.69,191787.57,37582.24,291261.79,229671.1,106610.18422662657,199703.14779324684,16351
79,rainy,summer,night,manhattan,21670.2,83941.8,16584.99,127321.99,84723.7,32272.247653530005,87435.34557656995,6927
79,rainy,winter,day,manhattan,50030.8,251341.73,51078.83,386010.12,295836.5833333333,149881.04104232337,277815.49465006654,21890
79,rainy,winter,night,manhattan,35021.73,148281.62,31172.24,229354.04,152541.68333333332,66336.30033035521,166226.42972097345,12543
79,sunny,fall,day,manhattan,255894.07,1225041.35,242728.92,1850499.17,1505397.7,704800.3918585945,1269110.0296511902,101555
