pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
December,rainy,winter,day,manhattan,2.370484818160272,13.215881882581643,2.5886673066748385,19.862715924951463,935.230108474203,417703
December,rainy,winter,day,not manhattan,10.080305284263632,35.93255837267965,6.008082109824721,49.168930696591424,2109.4395090873813,61844
December,rainy,winter,night,manhattan,2.7984247642640243,12.8798077153588,2.637326094773853,19.729409161738854,788.4348130094295,100112
December,rainy,winter,night,not manhattan,10.607844244393544,35.051302402386405,5.922103552975017,47.28255047142172,1431.830767591754,18773
December,sunny,fall,day,manhattan,,,,,,0
December,sunny,fall,day,not manhattan,,,,,,0
December,sunny,fall,night,manhattan,,,,,,0
December,sunny,fall,night,not manhattan,,,,,,0
December,sunny,spring,day,manhattan,,,,,,0
December,sunny,spring,day,not manhattan,,,,,,0
December,sunny,spring,night,manhattan,,,,,,0
December,sunny,spring,night,not manhattan,,,,,,0
December,sunny,summer,day,manhattan,,,,,,0
December,sunny,summer,day,not manhattan,,,,,,0
December,sunny,summer,night,manhattan,,,,,,0
December,sunny,summer,night,not manhattan,,,,,,0
December,sunny,winter,day,manhattan,2.4599425735169453,13.661971764672522,2.6124980490591474,20.486679802903282,903.3407013226227,1692773
December,sunny,winter,day,not manhattan,9.979706970912359,36.79369354875258,6.079739865400739,50.47180791280506,1977.385673713867,264786
December,sunny,winter,night,manhattan,2.912575187296838,13.509877317089668,2.6778170319767325,20.501229017382897,788.510680793669,502678
December,sunny,winter,night,not manhattan,10.095640298983314,35.381841250723255,5.701304332424103,47.46193890443633,1333.8762856164465,84687
