FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.fid--38345ac2_18774556e1b_-7f7e,10120,"Torvegade, ved Ravelinen",FODG,,100,Øvrige tællinger,,,,,,,,,4756,5600,5800,,,,,,,5600,20171003,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ZIuzO5HlZU.pdf,,,,,,,,1020,POINT (12.59524647045448 55.670274108752125)
trafiktaelling.fid--38345ac2_18774556e1b_-7f7d,10121,Vendersgade,FODG,16,100,Øvrige tællinger,,,,,,,,,3936,4600,4800,,,,,,,4600,20170620,2017,https://kk.sites.itera.dk/apps/kk_trafik/pdf/8UEnl1s1Av.pdf,,,,,,,,1021,POINT (12.566758507000928 55.68459146080963)
trafiktaelling.fid--38345ac2_18774556e1b_-7f7c,10124,Bernstoffsgade,FODG,24,100,Øvrige tællinger,,,,,,,,,13035,15300,15800,,,,,,,15300,20170823,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/wLjv1WaGSt.pdf,,,,,,,,1022,POINT (12.567113018790247 55.67184633818916)
trafiktaelling.fid--38345ac2_18774556e1b_-7f7b,10127,Halmtorvet,FOD,21,100,Øvrige tællinger,2721,"3,3",3200,3600,8427,"3,2",8700,10300,,,,,,,,,,,20170926,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/B3cuTdUanj.pdf,3.29999995,3.20000005,81,,,,,1023,POINT (12.557996527753566 55.66906619678808)
trafiktaelling.fid--38345ac2_18774556e1b_-7f7a,10128,Valby Langgade,Ø.f. Langgade Station,126,100,Øvrige tællinger,8280,"3,1",9700,10800,3001,"2,8",3100,3700,,,,,,,,,,,20180130,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/epXv9uUmhX.pdf,3.0999999,2.79999995,110,,,,,1024,POINT (12.504911114033156 55.66666324681025)
trafiktaelling.fid--38345ac2_18774556e1b_-7f79,10130,Center Boulevard-Arne Jacobsens Allé,,-,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20180130,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/K4TayyQnA7.pdf,,,,,,,,1025,POINT (12.572103725602853 55.63153307630569)
trafiktaelling.fid--38345ac2_18774556e1b_-7f78,10131,Strandpromenaden,,19,100,Øvrige tællinger,13287,"8,5",15500,17400,2602,"2,1",2700,3200,,,,,,,,,,,20170831,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/fpjHVj2jtu.pdf,8.5,2.0999999,1034,,,,,1026,POINT (12.583309980721666 55.718149752956286)
trafiktaelling.fid--38345ac2_18774556e1b_-7f77,10134,Nørregade,FODG,40,100,Øvrige tællinger,,,,,,,,,8272,9700,10000,,,,,,,9700,20220922,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/4V8SH8364b.pdf,,,,,,,,1027,POINT (12.571046110215686 55.682182628766846)
trafiktaelling.fid--38345ac2_18774556e1b_-7f76,10135,Marmorbroen,FODG,,100,Øvrige tællinger,448,,500,600,295,,300,400,3234,3800,3900,,,,,,,3800,20180620,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/uHnFBHIMUI.pdf,,,,,,,,1028,POINT (12.576740619629756 55.67483011527256)
trafiktaelling.fid--38345ac2_18774556e1b_-7f75,10136,Prinsensbro,FODG,,100,Øvrige tællinger,,,,,,,,,2609,3100,3200,,,,,,,3100,20180620,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZQ3JvX1eAF.pdf,,,,,,,,1029,POINT (12.577588857962073 55.674177913913255)
